Employee ID,Name,Department,Age,Gender,Salary,Years with Company,Job Title
1,Employee_1,Marketing,28,Male,106084.83,31,Coordinator
2,Employee_2,Sales,57,Male,84832.17,1,Manager
3,Employee_3,Engineering,50,Male,84855.14,32,Executive
4,Employee_4,Sales,45,Female,56688.1,3,Analyst
5,Employee_5,Sales,60,Male,105051.75,32,Executive
6,Employee_6,Finance,25,Female,44924.7,5,Analyst
7,Employee_7,Engineering,50,Female,34783.46,37,Manager
8,Employee_8,Engineering,26,Male,47244.3,12,Analyst
9,Employee_9,Engineering,50,Female,54096.35,14,Executive
10,Employee_10,Sales,51,Male,55408.0,9,Analyst
11,Employee_11,Marketing,50,Female,90346.22,7,Executive
12,Employee_12,Engineering,47,Female,49604.21,16,Coordinator
13,Employee_13,Sales,40,Male,90899.25,28,Manager
14,Employee_14,Finance,47,Female,38201.9,7,Executive
15,Employee_15,Marketing,58,Female,43248.22,14,Engineer
16,Employee_16,Finance,48,Female,75793.93,32,Engineer
17,Employee_17,Marketing,51,Female,112970.62,8,Analyst
18,Employee_18,Sales,51,Female,107361.08,27,Coordinator
19,Employee_19,HR,24,Female,117187.81,3,Coordinator
20,Employee_20,Marketing,64,Female,88543.12,27,Engineer
21,Employee_21,Finance,28,Female,90823.34,30,Analyst
22,Employee_22,Sales,30,Male,86252.07,34,Coordinator
23,Employee_23,Marketing,62,Female,86053.7,26,Coordinator
24,Employee_24,HR,63,Male,43240.83,37,Analyst
25,Employee_25,HR,34,Male,78936.51,22,Executive
26,Employee_26,Engineering,36,Female,64746.11,32,Engineer
27,Employee_27,Engineering,26,Female,69828.35,2,Coordinator
28,Employee_28,Finance,50,Male,77124.05,8,Executive
29,Employee_29,Marketing,56,Male,41555.66,7,Executive
30,Employee_30,Marketing,48,Male,62353.9,19,Executive
31,Employee_31,Engineering,48,Female,35710.46,33,Executive
32,Employee_32,Marketing,29,Female,118170.13,2,Manager
33,Employee_33,Marketing,53,Female,40667.52,3,Manager
34,Employee_34,HR,41,Male,53267.23,28,Analyst
35,Employee_35,Engineering,31,Female,110216.36,14,Engineer
36,Employee_36,Sales,34,Female,73443.9,15,Analyst
37,Employee_37,Engineering,50,Female,42207.35,21,Manager
38,Employee_38,Sales,56,Female,64580.75,14,Analyst
39,Employee_39,HR,29,Male,40428.12,18,Analyst
40,Employee_40,Finance,50,Female,48019.44,39,Executive
41,Employee_41,Marketing,52,Female,34682.69,20,Coordinator
42,Employee_42,HR,62,Male,69440.47,1,Manager
43,Employee_43,Marketing,51,Female,102597.25,9,Manager
44,Employee_44,Finance,43,Male,82737.23,9,Analyst
45,Employee_45,Finance,42,Male,84571.08,38,Coordinator
46,Employee_46,HR,33,Female,48052.56,39,Analyst
47,Employee_47,Finance,32,Male,60950.45,29,Engineer
48,Employee_48,Sales,23,Female,106071.79,15,Manager
49,Employee_49,Finance,62,Male,37907.06,20,Executive
50,Employee_50,Marketing,23,Male,107213.76,38,Executive
51,Employee_51,Marketing,55,Female,73532.1,30,Executive
52,Employee_52,Marketing,24,Male,105343.27,26,Manager
53,Employee_53,Marketing,37,Female,58620.58,6,Manager
54,Employee_54,Sales,25,Female,60495.87,39,Executive
55,Employee_55,Engineering,44,Female,97644.44,17,Manager
56,Employee_56,HR,41,Female,100649.66,6,Executive
57,Employee_57,Marketing,46,Male,50668.02,28,Engineer
58,Employee_58,Finance,51,Female,117558.42,9,Engineer
59,Employee_59,Marketing,39,Male,37604.11,27,Engineer
60,Employee_60,Finance,63,Female,36165.27,35,Analyst
61,Employee_61,Finance,32,Male,83595.38,6,Analyst
62,Employee_62,Marketing,50,Male,95046.67,4,Coordinator
63,Employee_63,Sales,38,Male,116479.75,16,Coordinator
